,date,post,description,amount,category,id
0,09/05/2018,09/05/2018,DELL RR5 18180596937 ROUND ROCK TX,1.89,Restaurants,
1,09/05/2018,09/05/2018,DELL RR5 18180596937 ROUND ROCK TX,7.57,Restaurants,
2,09/06/2018,09/06/2018,DELL RR5 18180596937 ROUND ROCK TX,8.37,Restaurants,
3,09/06/2018,09/06/2018,LINKEDIN-405*3062214 LNKD.IN/BILL CA1074005974-4053062214,32.46,Merchandise,
4,09/07/2018,09/07/2018,PP*FOODA SAN JOSE CA,6.41,Restaurants,
5,09/08/2018,09/08/2018,AMAZON GO AMZN.COM/BILLWA16TA41QHDRN,17.8,Merchandise,
6,09/08/2018,09/08/2018,LA MADELEINE #1026 AUSTIN TX,5.4,Restaurants,
7,09/08/2018,09/08/2018,SHELL 12421948006 AUSTIN TX,25.14,Gasoline,
8,09/09/2018,09/09/2018,SNOW PEA ASIAN BISTRO AUSTIN TX,26.65,Restaurants,
9,09/10/2018,09/10/2018,AMK DELL EMC TX RR5 M ROUND ROCK TX,1.79,Restaurants,
10,09/10/2018,09/10/2018,AMK DELL EMC TX RR5 M ROUND ROCK TX,11.86,Restaurants,
11,09/11/2018,09/11/2018,AMK DELL EMC TX RR5 M ROUND ROCK TX,1.79,Restaurants,
12,09/11/2018,09/11/2018,AMK DELL EMC TX RR5 M ROUND ROCK TX,8.0,Restaurants,
13,09/11/2018,09/11/2018,PHO VIET VIETNAMESE CUIS ROUND ROCK TX,12.77,Restaurants,
14,09/12/2018,09/12/2018,AMK DELL EMC TX RR5 M ROUND ROCK TX,3.54,Restaurants,
15,09/12/2018,09/12/2018,PP*DELLMASTERS SAN JOSE CA,80.0,Education,
16,09/14/2018,09/14/2018,AMAZON PRIME AMZN.COM/BILLWA2NECGNCFNKD,128.82,Merchandise,
17,09/15/2018,09/15/2018,KINDLE UNLTD*MT8S55F71 866-321-8851 WA44KTKOCVUUP,10.81,Merchandise,
18,09/15/2018,09/15/2018,SHELL 57543269104 AUSTIN TX,37.36,Gasoline,
19,09/17/2018,09/17/2018,SQ *SUMMERMOON COFFEE AUSTIN TX0002305843011791388769,4.01,Restaurants,
20,09/18/2018,09/18/2018,PANDA EXPRESS #1287 ROUND ROCK TX,8.9,Restaurants,
21,09/19/2018,09/19/2018,AMK DELL EMC TX RR5 M ROUND ROCK TX,1.79,Restaurants,
22,09/19/2018,09/19/2018,AMK DELL EMC TX RR5 M ROUND ROCK TX,9.0,Restaurants,
